domain,address,categories,checkins,city,country_code,country_name,description,email,extracted_address,followers,likes,link,name,page_type,phone,phone_country_code,price_range,raw_phone,region_code,region_name,time,url,zip_code,row
aamg.us,"16201 nw 49th ave., 33014, miami gardens, fl, florida",['Preschool'],,,us,United States,,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': None, 'region_name': 'Florida', 'city': None, 'city_district': 'Miami Gardens', 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Northwest 49th Avenue', 'postcode': '33014', 'po_box': None, 'house_number': '16201', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 8.0, 'staircase': None, 'suburb': 'Miami Gardens', 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 25.920839309692383, 'longitude': -80.27992248535156, 'raw_text': None, 'tokens': None, 'nominatim_address': None}",,,http://aamg.us/,American Architectural Metals & Glass,LocalBusiness,+13057053734,,$$,(305) 705-3734,,Florida,1631414863000,https://m.facebook.com/aamg8/?locale=en_US,33014,1
aaplumbingsa.com,"121 windy meadows dr, 78154, schertz, tx, texas",['Plumbing Service' 'Sewer Service'],77,Schertz,us,United States,,office@aaplumbingsa.com,"{'country_code': 'us', 'country_name': 'United States', 'region_code': None, 'region_name': 'Texas', 'city': 'Schertz', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Windy Meadows Drive', 'postcode': '78154', 'po_box': None, 'house_number': '121', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': -4.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 29.561647415161133, 'longitude': -98.2883071899414, 'raw_text': '121 windy meadows dr, 78154, schertz, tx, texas', 'tokens': None, 'nominatim_address': None}",,,https://aaplumbingsa.com/,A&A Plumbing,LocalBusiness,+12105662665,,$$,(210) 566-2665,,Texas,1645804183000,https://m.facebook.com/AandAplumbing/,78154,1
aattv.com,"1000 124th ave ne,, 98005, bellevue, wa, washington",['Broadcasting & Media Production Company'],,Bellevue,us,United States,,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': None, 'region_name': 'Washington', 'city': 'Bellevue', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': '124th Avenue Northeast', 'postcode': '98005', 'po_box': None, 'house_number': '1000', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 7.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 47.61947250366211, 'longitude': -122.17450714111328, 'raw_text': None, 'tokens': None, 'nominatim_address': None}",,,http://aattv.com/,Asian American TV - AAT TV 亞美卫视,LocalBusiness,+12064472288,US,,+1 206-447-2288,,Washington,1624336184000,https://m.facebook.com/aattvseattle/?locale=en_US,98005,1
abbondanzakeywest.com,"1208 simonton st, key west, fl 33040",['Italian Restaurant'],,Key West,us,United States,,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': None, 'region_name': 'Florida', 'city': 'Key West', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Simonton Street', 'postcode': '33040', 'po_box': None, 'house_number': '1208', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 7.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 24.54990577697754, 'longitude': -81.79653930664062, 'raw_text': '1208 simonton st, key west, fl 33040', 'tokens': None, 'nominatim_address': None}",,,http://abbondanzakeywest.com/,Abbondanza,,,,,,,Florida,1654406604000,http://www.facebook.com/pages/Abbondanza/147521161928414,33040,1
abispearstennis.com,,['Athlete' 'Coach'],,,,,,,,,,https://abispearstennis.com/,Abi Spears Tennis,Person,+17198889749,US,,+1 719-888-9749,,,1654717024000,https://m.facebook.com/abispearstennis/,,1
abitechsupply.com,"5865 smithway st, 90040, commerce, ca, us, california",['Commercial & Industrial' 'Lighting Store'],,Commerce,us,United States,,info@abitechsupply.com,"{'country_code': 'us', 'country_name': 'United States', 'region_code': None, 'region_name': 'California', 'city': 'Commerce', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Smithway Street', 'postcode': '90040', 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 6.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 34.00856018066406, 'longitude': -118.1511459350586, 'raw_text': None, 'tokens': None, 'nominatim_address': None}",,,http://abitechsupply.com/,Abitech Sign Supply,LocalBusiness,+13238881400,US,,+1 323-888-1400,,California,1626014860000,https://m.facebook.com/Abitech-125594168838035/?locale=en_US,90040,1
aboveandbeyondhomedecor.com,"49 inglis place, b2n4b4, truro, nova scotia, nova scotia, canada, nova scotia",['Binnenhuisdecoratie' 'Meubels' 'Winkels en detailhandel'],,Town of Truro,ca,Canada,,hello@aboveandbeyondhomedecor.com,"{'country_code': 'ca', 'country_name': 'Canada', 'region_code': None, 'region_name': 'Nova Scotia', 'city': 'Town of Truro', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Inglis Place', 'postcode': 'B2N 2K3', 'po_box': None, 'house_number': '49', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 9.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 45.36362838745117, 'longitude': -63.27606964111328, 'raw_text': None, 'tokens': None, 'nominatim_address': None}",,,http://aboveandbeyondhomedecor.com/,Above & Beyond Home Decor,Organization,+19028951445,CA,€€,+1 902-895-1445,,Nova Scotia,1628617028000,https://m.facebook.com/AboveBeyondHomeDecor/,B2N 2K3,1
abtgold.com,"2815 meredyth dr., 31707, albany, ga, us, georgia",['Bank'],8,Albany,us,United States,"YOU INSPIRE US. Your ideas, your energy, your challenges and your opportunities really motivate us to be the best banking partner you’ll ever have. This close connection is what makes us this community’s enduring financial partner.",marketing@abtgold.com,"{'country_code': 'us', 'country_name': 'United States', 'region_code': None, 'region_name': 'Georgia', 'city': 'Albany', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Meredyth Drive', 'postcode': '31707', 'po_box': None, 'house_number': '2815', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 5.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 31.610759735107422, 'longitude': -84.22049713134766, 'raw_text': '2815 meredyth dr., 31707, albany, ga, us, georgia', 'tokens': None, 'nominatim_address': None}",,,https://abtgold.com/,AB&T,LocalBusiness,+12294462265,US,,+1 229-446-2265,,Georgia,1654576036000,https://m.facebook.com/abtgold/,31707,1
academicmedicaleducation.com,"biltstraat 106, 3572 bj, utrecht, netherlands, utrecht",['Education' 'Medical and health'],10,Utrecht,nl,Netherlands,Academic Medical Education (AME) is a brand-new platform designed by Virology Education to be your first choice in finding the latest information in your medical field.,info@amededu.com,"{'country_code': 'nl', 'country_name': 'Netherlands', 'region_code': None, 'region_name': 'Utrecht', 'city': 'Utrecht', 'city_district': 'Utrecht', 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Biltstraat', 'postcode': '3572BJ', 'po_box': None, 'house_number': '106', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 5.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 52.09560775756836, 'longitude': 5.131837368011475, 'raw_text': 'biltstraat 106, 3572 bj, utrecht, netherlands, utrecht', 'tokens': None, 'nominatim_address': None}",,,http://academicmedicaleducation.com/,Academic Medical Education,LocalBusiness,+31302307140,NL,Not applicable,+31 30 230 7140,,Utrecht,1649074890000,https://m.facebook.com/AcademicMedicalEducation/,3572BJ,1
accentrixdesign.ca,,['Interior design studio'],,,,,"We specialize in residential new construction and renovation projects. Providing you and your builder or contractor with a complete, detailed specification and drawing package to execute your project in a timely, organized, and on budget manner.",daniellemolnar@accentrixdesign.ca,,,,http://accentrixdesign.ca/,Accentrix Design Ltd. - Home | Facebook,BreadcrumbList,+17788985103,CA,· £££ interior design studio @accentrixdesign,+1 778-898-5103,,,1660116293000,https://m.facebook.com/pages/AccenTrix-Design/115649489524/,,1
accessonesolutions.com,"9903 rhode island ave, ste a, 20740, college park, md, maryland",['Computer Repair Service' 'Electronics Store' 'Mobile Phone Shop'],70,College Park,us,United States,Repairs • Parts • Unlocking • Activations • Buy • Sell • Accessories for iPhone • iPad • iPod • Samsung • LG • HTC • Tablets • Computers • Game Consoles,sales@accessonesolutions.com,"{'country_code': 'us', 'country_name': 'United States', 'region_code': None, 'region_name': 'Maryland', 'city': 'College Park', 'city_district': 'Branchville', 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Rhode Island Avenue', 'postcode': '20740', 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 8.0, 'staircase': None, 'suburb': 'Branchville', 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 38.9986572265625, 'longitude': -76.92560577392578, 'raw_text': None, 'tokens': None, 'nominatim_address': None}",,,http://accessonesolutions.com/,Access One Solutions,LocalBusiness,+12403918009,,$,(240) 391-8009,,Maryland,1624580825000,https://m.facebook.com/AccessOneSolutions/?locale=en_US,20740,1
accion.org,,['Charitable organisation'],,,,,,,,,,https://accion.org/,Accion - Home | Facebook,BreadcrumbList,,,,(617) 625-7080,,,1676523570000,https://m.facebook.com/Accion.org/,,1
acconsult.ca,"100 consilium place, suite 200, m1h 3e3, toronto, on, canada, ontario",['Business Service' 'Passport & Visa Service'],13,Toronto,ca,Canada,,info@acconsult.ca,"{'country_code': 'ca', 'country_name': 'Canada', 'region_code': None, 'region_name': 'Ontario', 'city': 'Toronto', 'city_district': 'Scarborough', 'continent_code': None, 'continent_name': None, 'state_district': 'Golden Horseshoe', 'road': 'Consilium Place', 'postcode': 'M1H 3E3', 'po_box': None, 'house_number': '100', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 8.0, 'staircase': None, 'suburb': 'Scarborough', 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 43.77705383300781, 'longitude': -79.25255584716797, 'raw_text': '100 consilium place, suite 200, m1h 3e3, toronto, on, canada, ontario', 'tokens': None, 'nominatim_address': None}",,,http://acconsult.ca/,Access Canada Immigration,LocalBusiness,+16479489860,CA,Not Applicable,+1 647-948-9860,,Ontario,1647625178000,https://m.facebook.com/IBICimmigration/,M1H 3E3,1
accuratedoorservices.com,"400 middle st, 06010, bristol, ct, us, connecticut",['Commercial and industrial' 'Construction company'],7,Bristol,us,United States,,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': None, 'region_name': 'Connecticut', 'city': 'Bristol', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Middle Street', 'postcode': '06010', 'po_box': None, 'house_number': '400', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 6.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 41.65871047973633, 'longitude': -72.91748046875, 'raw_text': '400 middle st, 06010, bristol, ct, us, connecticut', 'tokens': None, 'nominatim_address': None}",,,http://accuratedoorservices.com/,Accurate Commercial Door & Hardware,LocalBusiness,+18608455446,US,£,+1 860-845-5446,,Connecticut,1645796495000,https://m.facebook.com/accuratedoor/,06010,1
accutek.co.uk,"accutek, unit b, foundry yard, london road, kings worthy,, so23 7qa, winchester, uk, england",['Audio Visual Equipment Store' 'Automotive Repair Shop'],181,Winchester,gb,United Kingdom,,,"{'country_code': 'gb', 'country_name': 'United Kingdom', 'region_code': None, 'region_name': 'England', 'city': 'Winchester', 'city_district': 'Kings Worthy', 'continent_code': None, 'continent_name': None, 'state_district': 'South East England', 'road': 'London Road', 'postcode': 'SO23 7QN', 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 7.0, 'staircase': None, 'suburb': 'Kings Worthy', 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 51.088165283203125, 'longitude': -1.299631953239441, 'raw_text': None, 'tokens': None, 'nominatim_address': None}",,,http://accutek.co.uk/,Accutek,LocalBusiness,,,· $$,,,England,1626088871000,https://m.facebook.com/accutekcaraudio/?locale=en_US,SO23 7QN,1
achildsacademy.com,"3401 nw 34th st, gainesville, fl 32605",['Day Care' 'Preschool'],,Gainesville,us,United States,,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': None, 'region_name': 'Florida', 'city': 'Gainesville', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Northwest 34th Street', 'postcode': '32605', 'po_box': None, 'house_number': '3401', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 6.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 29.68364906311035, 'longitude': -82.37154388427734, 'raw_text': '3401 nw 34th st, gainesville, fl 32605', 'tokens': None, 'nominatim_address': None}",,,http://achildsacademy.com/,A Childs Academy - Home | Facebook,,,,,,,Florida,1658756508000,https://m.facebook.com/achildsacademy/,32605,1
achillesmazda.ca,"1195 steeles ave. east, l9t9g4, milton, on, canada, ontario",['Automotive Service' 'Automotive Store' 'Car Dealership'],106,Milton,ca,Canada,,,"{'country_code': 'ca', 'country_name': 'Canada', 'region_code': None, 'region_name': 'Ontario', 'city': 'Milton', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': 'Golden Horseshoe', 'road': None, 'postcode': None, 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 7.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': False, 'city_has_first_letter_upper_case': True, 'latitude': 43.513671875, 'longitude': -79.88282012939453, 'raw_text': None, 'tokens': None, 'nominatim_address': None}",,,http://achillesmazda.ca/,Achilles Mazda of Milton,LocalBusiness,+12896271800,CA,,+1 289-627-1800,,Ontario,1626239561000,https://m.facebook.com/Achilles-Mazda-of-Milton-100515228221319/?locale=en_US,,1
acmehhc.com,,['Home healthcare service'],,,,,,,,,,http://acmehhc.com/,"Acme Health Services, Inc. - Home | Facebook",BreadcrumbList,,,,,,,1669785072000,https://m.facebook.com/Acme-Health-Services-Inc-105172235075940/,,1
